PASSENGERS,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN,DEST,AIRCRAFT_TYPE,MONTH
2636.00,AA,American Airlines Inc.,RIC,MIA,698,1
2636.00,WN,Southwest Airlines Co.,BNA,SAT,612,1
2637.00,F9,Frontier Airlines Inc.,ISP,MCO,699,1
2637.00,WN,Southwest Airlines Co.,SDF,TPA,612,1
2638.00,OO,SkyWest Airlines Inc.,DTW,SBN,638,1
2639.00,9E,Endeavor Air Inc.,ATL,CRW,629,1
2640.00,AS,Alaska Airlines Inc.,SEA,DAL,694,1
2640.00,B6,JetBlue Airways,JFK,BQN,694,1
2640.00,C5,CommuteAir LLC dba CommuteAir,XNA,IAH,675,1
2640.00,OO,SkyWest Airlines Inc.,MEM,DTW,638,1
2641.00,AA,American Airlines Inc.,LAS,JFK,614,1
2641.00,G4,Allegiant Air,PIE,AVL,694,1
2641.00,NK,Spirit Air Lines,MSY,FLL,722,1
2641.00,UA,United Air Lines Inc.,DEN,ATL,888,1
2641.00,UA,United Air Lines Inc.,LAS,LAX,694,1
2642.00,AA,American Airlines Inc.,MDT,CLT,698,1
2642.00,WN,Southwest Airlines Co.,AUS,SLC,612,1
2642.00,YX,Republic Airline,MCI,ORD,677,1
2643.00,MQ,Envoy Air,DFW,TYS,673,1
2644.00,OO,SkyWest Airlines Inc.,ROC,DTW,638,1
2644.00,WN,Southwest Airlines Co.,ATL,RIC,612,1
2644.00,WN,Southwest Airlines Co.,SDF,DAL,612,1
2644.00,YX,Republic Airline,DCA,MSY,673,1
2645.00,9E,Endeavor Air Inc.,LGA,ROC,638,1
2645.00,AS,Alaska Airlines Inc.,SEA,IAD,888,1
2645.00,AS,Alaska Airlines Inc.,SJC,PDX,614,1
2645.00,YX,Republic Airline,CLT,ORD,673,1
2646.00,NK,Spirit Air Lines,STL,MCO,694,1
2646.00,OH,PSA Airlines Inc.,DCA,SYR,631,1
2646.00,YV,Mesa Airlines Inc.,DFW,BMI,638,1
2647.00,9E,Endeavor Air Inc.,ATL,FAY,638,1
2647.00,DL,Delta Air Lines Inc.,LGA,RDU,723,1
2647.00,OH,PSA Airlines Inc.,OAJ,CLT,631,1
2648.00,AA,American Airlines Inc.,SEA,PHL,721,1
2648.00,UA,United Air Lines Inc.,LAX,DEN,614,1
2648.00,WN,Southwest Airlines Co.,PVD,TPA,614,1
2649.00,AS,Alaska Airlines Inc.,ADQ,ANC,612,1
2649.00,UA,United Air Lines Inc.,PHX,EWR,838,1
2650.00,WN,Southwest Airlines Co.,OAK,PDX,614,1
